Waktu Tweet,Username,Tweet,Sentimen
2022-06-26 06:35:51,selasar ternate,benarkan adenovirus astrazeneca picu hepatitis akut ,Positive
2022-06-26 06:35:04,selasar ternate,dokter hepatitis akut tak terkait vaksin covid ,Positive
2022-06-26 06:34:43,selasar ternate,adenovirus pada vaksin astrazeneca bukan penyebab hepatitis ,Neutral
2022-06-26 06:26:56,herbal medan,jual herbal hepatitis medan herbal bpom mui syariah admin pin 545481bb call 081269806871,Neutral
2022-06-26 05:53:15,wikasalim,vaksin tidak terkait dengan hepatitis pancasila satukan negeri ,Neutral
2022-06-26 05:48:41,andre raharjo, vaksin covid bukan penyebab hepatitis pancasila satukan negeri,Neutral
2022-06-26 05:22:51,jabodetabek, hepatitis akut tak terkait vaksin covid pancasila satukan negeri,Positive
2022-06-26 05:15:47,jack kahuna laguna 🇮🇩,normalisasi alkoholik negeri ini tidak akan pernah kami biarkan kalangan kami orang muslim terserah kalo agama kalian selain non islam mau mabok sampe hepatitis dan kanker hati pun kami tidak peduli tapi tolong jangan promokan kalangan muslim tutupholywingsindonesia,Negative
2022-06-26 05:08:23,shin mee rha, gakk ahh ntr kena hepatitis,Neutral
2022-06-26 04:59:17,gisel12,vaksinasi covid sudah terbukti dan tidak menyebabkan hepatitis pada anak pancasila satukan negeri,Neutral
2022-06-26 04:59:08,gisel12,vaksinasi covid sudah terbukti dan tidak menyebabkan hepatitis pada anak pancasila satukan negeri ,Neutral
2022-06-26 04:49:26,infoterkini, hepatitis akut tak terkait vaksin pancasila satukan negeri ,Positive
2022-06-26 04:47:35,danilla hasan, salah vaksin mrna menyebabkan hepatitis pada anak pancasila satukan negeri ,Negative
2022-06-26 04:37:05,danceeatsleeprepeat, rumah sakit vaksin hepatitis nya sedang kosong kalau mau paling dikejar aja hari senin pas cek bayi dokter anaknya hanya lewat jalur pribadi bisa vaksin pas itu iya bisa sekalian vaksin hepatitis nya coba gimana itu jadi kosong atau ada ,Negative
2022-06-26 04:30:46,dindu nuffin, bukan penyebab munculnya hepatitis pancasila satukan negeri,Neutral
2022-06-26 04:29:07,danu., hepatitis akut tak terkait dengan vaksin covid pancasila satukan negeri,Positive
2022-06-26 04:21:20,bagus dumijo, hepatitis akut merupakan kejadian luar biasa dan tidak ada kaitannya dengan vaksin covid pancasila satukan negeri,Positive
2022-06-26 04:17:33,arif bijaksana,tidak benar adenovirus pada vaksin astrazaneca jadi penyebab hepatitis anak pancasila satukan negeri ,Neutral
2022-06-26 04:16:20,fabian gelael,hepatitis akut tak terkait vaksin covid pancasila satukan negeri ,Positive
2022-06-26 04:01:12,aini nurani,cek faktanya yuk vaksin mrna menyebabkan hepatitis pada anak benarkah yuk simak penjelasannya pancasila satukan negeri ,Positive
2022-06-26 04:01:01,aini nurani,who telah menyatakan bahwa hepatitis akut merupakan kejadian luar biasa dan tidak ada kaitannya dengan vaksin covid pancasila satukan negeri ,Positive
2022-06-26 04:00:51,aini nurani,adenovirus pada vaksin astrazeneca bukan penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 03:52:44,bayu bagha darmono,hepatitis akut tidak ada kaitannya dengan vaksin covid pancasila satukan negeri ,Positive
2022-06-26 03:52:42,danis, vaksin mrna tidak sebabkan hepatitis pancasila satukan negeri,Neutral
2022-06-26 03:51:13,julfian mahardika, salah vaksin mrna menyebabkan hepatitis pada anak pancasila satukan negeri,Negative
2022-06-26 03:42:20,tasya syafriyanti, tidak ada hubungan vaksin covid dengan penyakit hepatitis akut vaksin sudah terbukti aman dan bermanfaat pancasila satukan negeri,Positive
2022-06-26 03:41:35,virnia,vaksin mrna tidak sebabkan hepatitis pancasila satukan negeri ,Neutral
2022-06-26 03:40:00,tanpa_boraks,adenovirus padabvaksin asteazeneca bukan penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 03:38:51,mading indonesia, hebat tidak benar vaksin jadi penyebab hepatitis anak pancasila satukan negeri,Positive
2022-06-26 03:38:47,mading indonesia, mantap tidak benar vaksin jadi penyebab hepatitis anak pancasila satukan negeri,Positive
2022-06-26 03:38:40,mading indonesia, oke tidak benar vaksin jadi penyebab hepatitis anak pancasila satukan negeri,Negative
2022-06-26 03:38:36,mading indonesia, tidak benar vaksin jadi penyebab hepatitis anak pancasila satukan negeri,Negative
2022-06-26 03:30:45,lapas leok,putus penularan hiv hepatitis dan spilis pada warga binaan lapas leok laksanakan pemeriksaan kesehatan selengkapnya kemenkumhamri ,Positive
2022-06-26 03:30:22,masyafir farim,adenovirus pada vaksin astrazeneca bukanlah penyebab hepatitis pada anak pancasila satukan negeri ,Neutral
2022-06-26 03:29:01,icha,tak ada kaitannya dengan hepatitis pancasila satukan negeri ,Neutral
2022-06-26 03:26:54,isyana hutagaol, vaksin mrna tidak sebabkan hepatitis,Negative
2022-06-26 03:26:50,fransisca, stop panik kasus hepatitis akut misterius pada anak bukan karena vaksin covid pancasila satukan negeri,Positive
2022-06-26 03:23:18,adityamano, tidak sebabkan hepatitis pancasila satukan negeri,Neutral
2022-06-26 03:22:41,anissa billa,adenovirus pada vaksin astrazenca bukan penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 03:22:37,anissa billa,tidak benar adenovirus pada vaksin astrazenca jadi penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 03:21:56,fransisca, pancasila satukan negeri stop panik kasus hepatitis akut misterius pada anak bukan karena vaksin covid ,Positive
2022-06-26 03:21:34,mugiawara no sanji66,penyebab hepatitis pada anak ini faktanya pancasila satukan negeri ,Neutral
2022-06-26 03:19:51,another migrain,tidak ada hubungannya vaksinasi dengan hepatitis pancasila satukan negeri ,Neutral
2022-06-26 03:19:12,the4tox, aneh kalo menghubungkan hepatitis dengan vaksin covid pancasila satukan negeri,Negative
2022-06-26 03:15:18,yorsista23,faktanya vaksinasi tidak sebabkan hepatitis pancasila satukan negeri ,Neutral
2022-06-26 03:13:40,barren cobama,vaksin anak menyebabkan hepatitis benar pancasila satukan negeri ,Neutral
2022-06-26 03:12:27,badri nasarun,hepatitis akut tak terkait vaksin pancasila satukan negeri ,Positive
2022-06-26 03:12:15,humedis87,benarkah vaksin menyebabkan hepatitis ini faktanya pancasila satukan negeri ,Negative
2022-06-26 03:09:08,bisnis.com,ada kasus probable hepatitis akut indonesia ini patogen terbanyak ditemukan ,Positive
2022-06-26 02:51:07,rendi,hepatitis akut tidak terkait vaksin covid segera vaksin pancasila satukan ,Positive
2022-06-26 02:50:55,rendi,tidak benar adenoviros pada vaksin astrazaneca jadi penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:49:08,subhan riantoni,hepatitis akut bukan berasal dari vaksin pancasila satukan negeri ,Positive
2022-06-26 02:37:00,god.ok,vaksin mrna menyebabkan hepatitis pada anak pancasila satukan negeri ,Negative
2022-06-26 02:35:05,god.ok,lawan hoax adenovirus picu hepatitis akut pancasila satukan negeri ,Positive
2022-06-26 02:34:54,renonegoro,hepatitis tak terkait vaksin ges pancasila satukan negeri ,Neutral
2022-06-26 02:33:55,god.ok,lawan hoax seputar hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:33:18,resti,tidak ada hubungan vaksin covid dengan penyakit hepatitis akut pada anak tim covid pastikan vaksin anak aman dan sehat untuk anak pancasila satukan negeri ,Positive
2022-06-26 02:33:12,🅽🅾🆅🅴🅻🅰🆁🅰🆂🆆🅰🆃🅸 💯🇮🇩,vaksin covid bukan menjadi pemicu timbulnya hepatitis pada anak anak pancasila satukan negeri ,Neutral
2022-06-26 02:32:54,terpesonna,cek fakta vaksin mrna menyebabkan hepatitis pada anak adalah hal yang salah dan tidak berdasar pancasila satukan negeri ,Negative
2022-06-26 02:32:43,rodi hartono,vaksinasi bukan jadi penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:32:21,god.ok,tidak benar adenovirus jadi penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:31:33,god.ok,adenovirus pada vaksin bukan penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:30:37,ıʇɐɥıʞɐʞuɐʇɐʇɐɔ,waspadaaa hoax vaksin moderna faktanya aman tidak terkait dgn hepatitis akut terjadi maka dari itu kita tetap waspada selalu biasakan hidup bersih dan sehat disiplinprokestangkalomicron pancasila satukan negara ,Positive
2022-06-26 02:28:45,andii, hepatitis tidak ada kaitannya dengan vaksin covid pancasila satukan negeri,Neutral
2022-06-26 02:28:42,indriani,dokter hepatitis akut tak terkait vaksin covid pancasila satukan negeri ,Positive
2022-06-26 02:28:00,зима,hoax vaksin mrna menyebabkan hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:27:02,almayra siti,kandungan pada astrazaneca tak ada kaitannya dengan hepatitis akut pancasila satukan negeri ,Positive
2022-06-26 02:26:38,luis chaniago,hepatitis tidak berkaitan dengan vaksinasi pancasila satukan negeri ,Neutral
2022-06-26 02:25:55,almayra siti,tidak benar vaksin jadi penyebab hepatitis anak pancasila satukan negeri ,Negative
2022-06-26 02:24:28,sutansegeh,vaksin covid telah teruji amp terjamin aman serta sertifikasi mui tidak ada kaitan hepatitis akut pancasila satukan negri ,Positive
2022-06-26 02:09:52,nusantara bersatu,tak ada kaitannya dengan covid19 hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:08:15,indah cn,jangan percaya hoax tidak ada kaitan vaksin astra anak sebabkan hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:07:08,indah cn,tidak benar adenovirus pada vaksina astra jadi penyebab hepatitis pancasila satukan negeri ,Negative
2022-06-26 02:05:49,nek nang,vaksin astrazaneca bukan penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:04:26,anjani aneira,vaksin mrna sama sekali sebabkan hepatitis pancasila satukan negeri ,Neutral
2022-06-26 02:04:18,amoi kurau,hepatitis bukan disebabkan dari vaksin covid simak ini pancasila satukan negeri ,Neutral
2022-06-26 02:02:42,adityamano,pancasila satukan negeri waspada hoax hepatitis ,Neutral
2022-06-26 02:02:06,kumparan,kementerian kesehatan kemenkes menyebutkan dari dugaan kasus hepatitis akut indonesia kasus antaranya sudah berhasil diketahui penyebabnya kumparannews ,Positive
2022-06-26 02:00:54,nicole,vaksin pada anak tidak menyebabkan hepatitis akut pancasila satukan negeri ,Positive
2022-06-26 01:56:00,albertjosua,hepatitis akut merupakan kejadian luar biasa dan tidak ada kaitannya dengan vaksin covid pancasila satukan negeri ,Positive
2022-06-25 23:48:36,hendri syahrizal,hepatitis tidak berkaitan dengan vaksin covid pancasila satukan negeri ,Neutral
2022-06-25 22:49:33,i love nkri,tidak benar andenovirus pada vaksin aztrazeneca jadi penyebab hepatitis pancasila satukan negeri ,Neutral
2022-06-25 22:34:47,stay sane!, hmmm ini mah masuk indikasi bisa gugurkan sih nder kalo indo tapi make sure aja nnati pas periksa hamil akan ada satu kali pemeriksaan triple elimination hiv aids sifilis hepatitis nanti wajib periksa soalnya kasian ibu dan calon bayi nya soalnya ,Positive
2022-06-25 22:27:53,rezky annissha z,alhamdulilah termasuk jarang sakit sekaliny sakit harus drawat semua tumor paha 2010 tumor 2015 hepatitis 2019 ini msh observasi ttp harus dirawat 2022 ,Negative
2022-06-25 21:53:54,hilihbicit, guaa jugaa ngerasain hal sama ekpetasi gua bakal soal kesehatan cacar monyet atau hepatitis atau engga yaa kurikulum merdeka lahh inii wadidawwww,Positive
2022-06-25 17:55:14,baras,nantinya penemuan ini tidak hanya untuk hiv tapi juga terapi yang efektik dan terjangkau untuk virus covid hepatitis influenza rabies tetanus dan sebagainya tetapi apakah perusahaan ini termasuk menjanjikan adakah bukti valid dari penelitian ini ,Positive
2022-06-25 17:41:05,alexis, con hepatitis asjadmakdlqkwjqk,Neutral
2022-06-25 15:39:04,ranaya 💫, tiap ngew cowonya sertakan ktp hasil pcr sama cek darah hiv sifilis sama hepatitis,Negative
2022-06-25 13:15:53,zubairi djoerban,kecoa coro ini juga sebelas dua belas dengan lalat dia agen berbagai penyakit seperti hepatitis serta merupakan sumber alergen dan bisa picu timbulnya serangan asma pada orang yang sakit asma dia pun juga bisa membawa poliomyelitis ,Neutral
2022-06-25 12:42:34,pikiran rakyat,who catat 650 kasus baru hepatitis misterius anak ilmuwan ungkap dua teori penyebab sebenarnya ,Neutral
2022-06-25 12:35:37,pikiran rakyat,who catat 650 kasus baru hepatitis misterius terhadap anak ilmuwan ungkap dua teori soal penyebab sebenarnya ,Neutral
2022-06-25 11:58:30,mitrapost.com,kemenkes laporkan kasus hepatitis akut misterius tersebar provinsi ,Positive
2022-06-25 11:45:50,bfo,semua darah yang disumbangkan diuji untuk hiv hepatitis dan sifilis dan penyakit menular lainnya sebelum ditransfusi,Neutral
2022-06-25 11:07:33,katakini,who lebih 900 kasus hepatitis akut anak anak negara ,Positive
2022-06-25 10:00:17,radar banyumas, kasus dugaan hepatitis akut misterius fokusutama hepatitis nasional umum ,Positive
2022-06-25 09:25:05,hughlessley, herpes simplex encephalitis simplex gastritis simplex hepatitis simplex meningitis simplex meningoencephalitis simplex meningomyelitis simplex necrotising retinopathy simplex oesophagitis simplex otitis externa simplex pharyngitis simplex pneumonia ,Neutral
2022-06-25 08:54:15,mainmain,who lebih dari 900 kasus dugaan hepatitis akut dilaporkan pada anak anak who hepatitis anakanak,Positive
2022-06-25 08:40:14,detikcom,who melaporkan total kasus kemungkinan hepatitis akut misterius pada anak anak kini melonjak hingga lebih dari 900 kasus dari negara apa kabar indonesia ,Positive
2022-06-25 08:35:13,warta kota official, dari kasus dugaan indonesia ternyata bukan hepatitis akut lewat ,Positive
2022-06-25 08:01:10,inilahcom,patogen cmv paling banyak ditemukan pada pasien hepatitis inersia hepatitis patogencmv,Neutral
2022-06-25 07:48:26,rakyat merdeka,cmv biang kerok terbanyak pada pasien probable hepatitis akut ,Positive
2022-06-25 06:54:11,berita terkini,patogen cmv paling banyak ditemukan pada kasus probable hepatitis misterius ,Neutral
2022-06-25 06:49:33,wahana news official,who laporkan 920 kasus hepatitis akut dunia bagaimana indonesia hepatitis hepatitisakut kesehatan who,Positive
2022-06-25 06:25:31,deliserdang_kab,bupati deli serdang diwakili asisten pemerintah dan kesejahteraan rakyat drs citra effendy capah msp membuka seminar hepatitis akut dan workshop vaksinasi pada anak serta penatalaksanaan long covid syndrom wing hotel kualanamu sabtu 2022 ,Positive
2022-06-25 06:02:26,yonarmed 7/biringgalih,batalyon armed 105 biringgalih melaksanakan kegiatan vaksin hepatitis aula biringgalih tujuan vaksin ini agar menjaga stamina dan kesehatan prajurit serta mencegah penyakit hepatitis lingkungan tni jumat 2022 ,Negative
2022-06-25 06:00:00,poskota.co.id,waspada kemenkes temukan kasus penyakit hepatitis akut misterius ,Positive
2022-06-25 05:33:08,rakyat merdeka, persen kasus probable hepatitis akut ternyata belum divaksin covid mayoritas usia balita ,Positive
2022-06-25 05:21:40,infoterkini, hepatitis akut tak terkait vaksin covid insfrastruktur satukan nusantara ,Positive
2022-06-25 05:16:28,eka silawati, salah vaksin mrna menyebabkan hepatitis pada anak infrastruktur satukan nusantara ,Negative
2022-06-25 05:04:04,bagus dumijo, astrazeneca bukan sebagai penyebab hepatitis akut infrastruktur satukan nusantara,Positive
2022-06-25 04:51:23,sigit purnomo,hepatitis akut tak terkait vaksin covid infrastruktur satukan nusantara ,Positive
2022-06-25 04:48:28,rahmat #pakaimasker #vaksinasi,mau uji coba metode pcr hepatitis virus juga bingung dgn kontrol positif kalau dari papers mereka pakai kontrol dna sintetik tapi pasti mahillll,Negative
2022-06-25 04:46:02,msnindonesia, pasien probable hepatitis akut indonesia ini patogen terbanyak ,Positive
2022-06-25 04:35:10,wati,vaksin covid aman dan tidak ada kaitannya dengan hepatitis infrastruktur satukan nusantara ,Positive
2022-06-25 04:31:33,pikiran rakyat bekasi,kasus hepatitis akut indonesia meningkat kemenkes beberkan rinciannya ,Positive
2022-06-25 04:28:28,terpesonna,muncul dugaan adenovirus pada vaksin astrazeneca jadi penyebab hepatitis ayo cek faktanya dan jangan termakan hoaks infrastruktur satukan nusantara ,Neutral
2022-06-25 04:28:24,anjani,vaksin covid tidak ada hubungannya dengan hepatitis akut pada anak infrastruktur satukan nusantara ,Positive
2022-06-25 04:20:54,nyoman sugita, cek faktanya dulu hepatitis tidak hubungan dengan vaksin covid infrastruktur satukan nusantara,Neutral
2022-06-25 04:20:51,rizaldi, vaksin covid bukanlah penyebab hepatitis akut pada anak infrastruktur satukan nusantara,Positive
2022-06-25 04:18:02,putri venesia,cek fakta vaksin mrna mengebabkan hepatitis pada anak benarkah infrastruktur satukan nusantara ,Neutral
2022-06-25 04:11:18,rismasiregar, vaksin covid19 tidak sebabkan hepatitis,Neutral
2022-06-25 04:10:43,juniar selalu, jangan percaya hoax terkait adenovirus pada vaksin aztrazeneca memicu hepatitis akut infrastruktur satukan nusantara,Positive
2022-06-25 04:09:53,subhan riantoni,waspada hoax beredar unggahan yang menyatakan bahwa vaksin mrna menyebabkan hepatitis pada anak infrastruktur satukan nusantara ,Negative
2022-06-25 04:00:19,indonesia update 🇮🇩🇮🇩💯,tidak benar vaksin mengakibatkan hepatitis infrastruktur satukan nusantara ,Negative
2022-06-25 04:00:13,nurdian,dokter hepatitis akut tak terkait vaksin covid infrastruktur satukan nusantara ,Positive
2022-06-25 03:59:31,i love nkri,wapada hoax beredar sebuah unggahan yang menyatakan bahwa vaksin mrna menyebabkan hepatitis pada anak infrastruktur satukan nusantara ,Negative
2022-06-25 03:56:16,info timuran, salah vaksin mrna menyebabkan hepatitis pada anak infrastruktur satukan nusantara,Negative
2022-06-25 03:54:20,bayu bagha darmono,hepatitis akut tak ada hubuangannya dengan vaksin astra infrastruktur satukan nusantara ,Positive
2022-06-25 03:50:56,masyafir farim,cek fakta vaksin mrna tidak menyebabkan hepatitis pada anak infrastruktur satukan nusantara ,Negative
2022-06-25 03:45:56,beritasatu,kasus hepatitis akut indonesia patogen cmv paling banyak ditemukan ,Positive
2022-06-25 03:44:32,lalalanina55,kandungan adenovirus bukan penyebab hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 03:44:28,lalalanina55,vaksin mrna tidak ada kaitannya dengan hepatitis anak infrastruktur satukan nusantara ,Neutral
2022-06-25 03:44:24,lalalanina55,para dokter berpendapat vaksin tak terkait hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 03:44:23,lalalanina55,vaksin tidak ada kaitannya denga hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 03:41:58,doli siagian,waspada provokasi kelompok kepentingan yang mengaitkan hepatitis akut dengan vaksinasi covid pada anak infrastruktur satukan nusantara ,Positive
2022-06-25 03:39:31,andri setyawan,jangan percaya hoax vaksin sebabkan hepatitis pada anak infrastruktur satukan nusantara ,Neutral
2022-06-25 03:37:59,lilla fitri,kementerian kesehatan telah membantah adanya kaitan antara vaksinasi covid dengan hepatitis infrastruktur satukan nusantara ,Positive
2022-06-25 03:35:57,lilla fitri,tidak ada vaksin penyebab hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 03:33:35,lilla fitri,cek fakta jangan percaya hoax terkait vaksin sebabkan hepatitis pada anak infrastruktur satukan nusantara ,Negative
2022-06-25 03:32:26,lilla fitri,tak ada kaitanya vaksin covid dengan hepatitis akut infrastruktur satukan nusantara ,Neutral
2022-06-25 03:32:14,dabriel,vaksin mrna menyebabkan hepatitis pada anak infrastruktur satukan nusantara ,Negative
2022-06-25 03:32:00,lilla fitri,waspada hoax vaksin mrna menyebabkan hepatitis pada anak infrastruktur satukan nusantara ,Negative
2022-06-25 03:31:50,luis chaniago,hepatitis tidak berkaitan dengan vaksinasi waspada hoax infrastruktur satukan nusantara ,Neutral
2022-06-25 03:28:03,tempo.co, pasien probable hepatitis akut indonesia ini patogen terbanyak tempotekno,Positive
2022-06-25 03:25:45,andii, vaksin astrazeneca bukan sebagai penyebab hepatitis akut infrastruktur satukan nusantara,Positive
2022-06-25 03:17:55,meylita_apriliani,vaksinasi tidak memberikan dampat penyakit hepatitis jangan mudah terprovokasi berita hoax infrastruktur satukan nusantara ,Positive
2022-06-25 03:11:04,faisal fegi, hepatitis akut bukan karena vaksin covid infrastruktur satukan nusantara,Positive
2022-06-25 02:59:23,virnia, vaksin covid sama sekali tidak sebabkan hepatitis akut infrastruktur satukan nusantara,Positive
2022-06-25 02:43:14,anjinc,dari mata turun hati kalo dari hati naik mata namanya hepatitis,Negative
2022-06-25 02:39:39,sutansegeh,vaksin covid telah teruji amp terjamin aman serta sertifikasi mui tidak ada kaitan hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 02:39:01,pendukung nu sejati, jangan percaya hoax itu gak ada vaksin pengaruh penyakit hepatitis pada anak percaya kepada pemerintah karena mereka bekerja untuk rakyat indonesia infrastruktur satukan nusantara,Neutral
2022-06-25 02:30:03,christina siauta,vaksin mrna tidak ada hubungannya dengan hepatitis pada anak infrastruktur satukan nusantara ,Neutral
2022-06-25 02:26:24,joko mandumna,infrastruktur satukan nusantara hepatitis akut tak terkait vaksin covid ,Positive
2022-06-25 02:26:02,firmansyah, vaksin covid tidak sebabkan hepatitis,Negative
2022-06-25 02:23:51,askadi pijay,infrastruktur satukan nusantara vaksin mrna tidak menyebabkan hepatitis pada anak ,Negative
2022-06-25 02:22:19,tata pratiwi,hepatitis akut tak terkait dengan vaksin covid infrastruktur satukan nusantara ,Positive
2022-06-25 02:21:44,abdul danu, leres teu aya vaksin anu nyababkeun patitis infrastruktur satukan nusantara,Neutral
2022-06-25 02:20:24,harian metro(global), geneva sebanyak negara melaporkan 920 kes berkemungkinan hepatitis akut yang teruk dalam kalangan kanak kanak setakat ini ,Positive
2022-06-25 02:19:47,heewon, bener ora ana vaksin sing nyebabake hepatitis infrastruktur satukan nusantara,Neutral
2022-06-25 02:19:22,hermionne,infrastruktur satukan nusantara cerdas menanggapi isu hepatitis akut misterius ,Positive
2022-06-25 02:17:25,nona kartika, true there vaccine that causes hepatitis infrastruktur satukan nusantara,Positive
2022-06-25 02:15:30,pedjoeang receh, memang benar tidak ada vaksin yang menyebabkan hepatitis infrastruktur satukan nusantara,Neutral
2022-06-25 02:15:07,indah cn,jangan percaya pada hoax hepatitis akut dikarenakan vaksinasi infrastruktur satukan nusantara ,Positive
2022-06-25 02:07:32,azlila,vaksin covid pada anak tak sebabkan penyakit hepatitis akut waspada berita bohong infrastruktur satukan nusantara ,Positive
2022-06-25 02:06:45,princess violet,vaksin mrna yang menyebabkan hepatitis itu tidak benar infrastruktur satukan nusantara ,Neutral
2022-06-25 02:04:35,nek nang,tidak benar bahwa vaksin astra zaneka dapat picu hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 02:04:18,amoi kurau,tidak ada korelasi antara vaksin covid dengan hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 02:01:51,anjani aneira,hepatitis tidak ada kaitannya dengan vaksin covid infrastruktur satukan nusantara ,Neutral
2022-06-25 02:01:35,indriani,waspada hoax beredar sebuah unggahan yang menyatakan bahwa vaksin mrna menyebabkan hepatitis pada anak infrastruktur satukan nusantara ,Negative
2022-06-25 01:56:39,susi susanti,astrazeneca bukan sebagai penyebab hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 01:47:14,rendi darmawan,vaksin covid sama sekali tidak sebabkan hepatitis akut infrastruktur satukan nusantara ,Positive
2022-06-25 01:42:02,kompas.com,who menuturkan eropa menyumbang setengah dari kemungkinan kasus tersebut termasuk 267 dari inggris ,Neutral
2022-06-25 01:21:09,tri indah,fakta jabar wabah hepatitis misterius telah menulari ratusan anak dunia penyakit ini disebut misterius karena penyebabnya belum diketahui secara pasti sayangnya akun media sosial memuat sejumlah klaim menuduh vaksin covid diduga menjadi pemicunya ,Negative
2022-06-25 01:11:33,pikiran rakyat,kemenkes temukan kasus hepatitis misterius indonesia masyarakat diimbau jaga anak anak ,Neutral
2022-06-25 00:48:48,tawo lesyio, masih dalam siasatan amp kajian hingga sekarang masih belum dapat jawapan punca berlaku hepatitis akut tersebut ,Positive
2022-06-25 00:18:02,black mark, apa sebab dan asbab sehingga peningkatan hepatitis akut pada kanak2 sekarang ,Positive
2022-06-25 00:10:04,era.id,sebanyak kasus kumulatif diduga hepatitis akut misterius pada anak dilaporkan dari provinsi indonesia per juni 2022 ,Positive
2022-06-25 00:08:50,berita harian, bhdunia setakat ini kanak kanak yang dikesan menghidap hepatitis akut memerlukan pemindahan hati selain kes kematian ,Positive
2022-06-24 23:35:03,dokter tifa,tdk ada hepatitis misterius juga penyakit lain dilabeli misterius semua dijelaskan scr scientific saya sebut hipotesis krn semua akan concluded thn sekarang hipotesis ini favorit netizen pdhal ada hipotesis lainnya ,Positive
2022-06-24 22:48:37,anadolu agency indonesia,indonesia catat dugaan hepatitis akut bertambah jadi kasus ,Positive
